Profile of container sha256:015f433317e1d09c502545800e2e473d2fc3a250df3ba1b4d81f8759e92810bd was created at 2019-07-14T08:38:59.706823716. size: 101.
timeStamp,time,user,system,stats_time,stats_total_cpu_usage,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,rx_bytes,rx_dropped,rx_errors,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
2019-07-14T08:38:59.706823716Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-14T08:38:59.775782192Z,129,35,2,64,288009740,19656672,40204822,11775705,5987939,40811768,2754178,163437972,3380684,286,0,0,3,0,0,0,0
2019-07-14T08:39:00.777092828Z,1073,91,3,1066,1011748949,71767783,266630097,68558543,92504883,127291989,63571272,218284255,103140127,626,0,0,7,0,0,0,0
2019-07-14T08:39:01.783536723Z,2076,92,3,2072,1142068002,87735914,280401247,84798588,110867891,143652129,80458467,233924720,120229046,1714,0,0,13,0,0,0,0
2019-07-14T08:39:02.7885765Z,3083,111,3,3077,1343914769,112189565,306342179,110748269,136868853,169520389,102262009,259821817,146161688,1927,0,0,14,0,0,0,0
2019-07-14T08:39:03.792648806Z,4089,139,3,4081,1622833427,145243258,342184217,146235045,171573192,205137601,137710912,292894633,181854569,1927,0,0,14,0,0,0,0
2019-07-14T08:39:04.79604242Z,5089,174,4,5085,2069323648,187335302,387269390,277317484,215521701,248585658,181908866,343321830,228063417,1997,0,0,15,0,0,0,0
2019-07-14T08:39:05.798814439Z,6091,214,4,6087,2480185567,246980592,403279295,336464728,271776192,308868275,239757895,392516784,280541806,2210,0,0,16,0,0,0,0
2019-07-14T08:39:06.801038154Z,7093,260,4,7090,2956747245,314379150,403279295,404566469,340784660,376113934,308370022,461963234,347290481,2210,0,0,16,0,0,0,0
2019-07-14T08:39:07.803186357Z,8094,310,4,8092,3532227092,390508079,442180068,481284339,417319759,453130758,384994002,538689733,424120354,2210,0,0,16,0,0,0,0
2019-07-14T08:39:08.804708413Z,9095,381,4,9093,4212971347,476816318,528096236,567818581,503878440,530485698,470795131,624795639,510285304,2210,0,0,16,0,0,0,0
2019-07-14T08:39:09.806130453Z,10096,460,4,10095,4971801515,571801039,624186982,663186141,599750228,625822557,561838484,720016938,605199146,2210,0,0,16,0,0,0,0
