Profile of container sha256:5be1c1f6c2b22c4a73f72caa34038a3f2408bb0ea4461f68e4e2dbd1c578b10a was created at 2019-07-15T15:11:57.681446792. size: 30.
timeStamp,time,user,system,stats_time,stats_total_cpu_usage,cpu_0,cpu_1,cpu_2,cpu_3,memory_usage,memory_cache,memory_limit,rx_bytes,rx_dropped,rx_errors,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
2019-07-15T15:11:57.681446792Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-15T15:11:58.678964504Z,1050,104,12,977,1187657863,373234605,368035183,243782430,202605645,38600704,0,8149520384,266,0,0,3,0,0,0,0
2019-07-15T15:11:59.681135556Z,1991,105,13,1980,1204938928,389631837,368588905,243881464,202836722,56696832,0,8149520384,1600,0,0,12,0,0,0,0
2019-07-15T15:12:00.683774224Z,2992,105,14,2982,1223683078,390009523,368887901,261690313,203095341,74981376,0,8149520384,1812,0,0,13,0,0,0,0
2019-07-15T15:12:01.686720649Z,3996,119,19,3985,1409603496,431180921,413227869,323619092,241575614,98492416,0,8149520384,1812,0,0,13,0,0,0,0
2019-07-15T15:12:02.690542284Z,4998,133,24,4989,1602711277,477401137,466629806,369792919,288887415,122785792,0,8149520384,1812,0,0,13,0,0,0,0
2019-07-15T15:12:03.693380694Z,6000,148,26,5992,1768914352,502447065,499769683,436097406,330600198,142626816,0,8149520384,2094,0,0,15,0,0,0,0
2019-07-15T15:12:04.697323374Z,7002,164,29,6996,1972195507,559609802,527515432,468833688,416236585,153223168,0,8149520384,2094,0,0,15,0,0,0,0
2019-07-15T15:12:05.699832849Z,8005,184,34,7998,2228070906,614070335,636727615,515717466,461555490,170147840,0,8149520384,2094,0,0,15,0,0,0,0
2019-07-15T15:12:06.701765496Z,9006,204,39,9000,2474762053,669108390,682312912,567124785,556215966,187625472,0,8149520384,2094,0,0,15,0,0,0,0
2019-07-15T15:12:07.703933247Z,10007,225,42,10002,2704261878,721804958,771969942,599283440,611203538,204369920,0,8149520384,2094,0,0,15,0,0,0,0
2019-07-15T15:12:08.705977359Z,11012,245,48,11004,2968573851,754737578,881704063,640446584,691685626,223047680,0,8149520384,2094,0,0,15,0,0,0,0
2019-07-15T15:12:09.708135023Z,12014,264,51,12007,3219204653,805843609,963977570,695099222,754284252,242135040,0,8149520384,2094,0,0,15,0,0,0,0
2019-07-15T15:12:10.710827792Z,13015,278,57,13009,3435447609,907157550,996803447,727179793,804306819,259702784,0,8149520384,2094,0,0,15,0,0,0,0
2019-07-15T15:12:11.713560145Z,14018,299,61,14012,3688358574,1015464664,1036592679,783617722,852683509,279302144,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:12.716215717Z,15022,316,66,15015,3939078473,1054884391,1126251035,872594508,885348539,298610688,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:13.719358447Z,16028,338,70,16018,4181038064,1139621457,1181222287,920482545,939711775,316121088,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:14.722502413Z,17026,362,73,17021,4433761885,1230410113,1249944054,968589074,984818644,335564800,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:15.724980284Z,18029,381,80,18023,4718316380,1337189688,1297047705,1011444631,1072634356,355287040,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:16.727537308Z,19031,400,85,19026,4952277507,1378333077,1344018430,1083521319,1146404681,372903936,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:17.730354339Z,20035,416,91,20029,5202098774,1418696837,1432684068,1114557200,1236160669,392282112,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:18.732967713Z,21037,440,93,21031,5468735901,1478072832,1512410046,1197533668,1280719355,411758592,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:19.735435473Z,22042,456,99,22034,5703413187,1517632651,1625434908,1226248481,1334097147,429289472,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:20.73935047Z,23044,479,103,23038,5987220407,1570803162,1671993083,1273658138,1470766024,448847872,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:21.743272455Z,24049,504,107,24042,6275748448,1667849508,1763655650,1323322744,1520920546,468312064,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:22.747847704Z,25052,526,111,25046,6543592210,1802985959,1806246586,1367707944,1566651721,485888000,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:23.750611601Z,26054,552,116,26049,6842546743,1898981618,1885575562,1431334545,1626655018,505618432,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:24.752535658Z,27058,574,120,27051,7116175217,2045792580,1921154997,1478938589,1670289051,525160448,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:25.755256687Z,28059,596,124,28054,7401208743,2103853317,2017263262,1570776366,1709315798,542654464,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:26.757413051Z,29062,616,128,29056,7679379744,2248536193,2075866765,1606299414,1748677372,562049024,0,8149520384,2164,0,0,16,0,0,0,0
2019-07-15T15:12:27.760307265Z,30066,639,133,30059,7943015681,2311894715,2143235618,1637319396,1850565952,580194304,0,8149520384,2164,0,0,16,0,0,0,0
