Profile of container sha256:28cf3b844701a923f8c80f1429ed8bda815ea89db2063902c2a67a27cba78421 was created at 2019-07-15T15:27:32.940176645. size: 30.
timeStamp,time,user,system,stats_time,stats_total_cpu_usage,cpu_0,cpu_1,cpu_2,cpu_3,memory_usage,memory_cache,memory_limit,rx_bytes,rx_dropped,rx_errors,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
2019-07-15T15:27:32.940176645Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-15T15:27:33.935598048Z,1066,112,10,976,1241031489,446453293,217252628,195904023,381421545,39100416,135168,8149520384,516,0,0,6,0,0,0,0
2019-07-15T15:27:34.940751038Z,1993,187,14,1981,2039642169,623438506,474576856,430472308,511154499,74375168,135168,8149520384,1600,0,0,12,0,0,0,0
2019-07-15T15:27:35.943145581Z,2994,327,24,2984,3580534014,1149468873,847052612,680669823,903342706,108871680,946176,8149520384,65502,0,0,56,4290,0,0,49
2019-07-15T15:27:36.945616201Z,3995,373,27,3986,4069550469,1304205506,948120116,742557845,1074667002,132825088,946176,8149520384,129150,0,0,98,9330,0,0,109
2019-07-15T15:27:37.948240264Z,4998,425,33,4989,4670633158,1431079495,1108119410,954571703,1176862550,158199808,946176,8149520384,214296,0,0,156,15522,0,0,181
2019-07-15T15:27:38.951036295Z,5999,478,36,5992,5232119231,1558423917,1182358074,1120006544,1371330696,175919104,946176,8149520384,320376,0,0,226,23262,0,0,271
2019-07-15T15:27:39.953558384Z,6999,553,40,6994,6025763925,1757677455,1387116585,1385111832,1495858053,182829056,946176,8149520384,447672,0,0,310,32550,0,0,379
2019-07-15T15:27:40.95550478Z,8007,628,44,7996,6810256463,1853597586,1770273664,1539839422,1646545791,201252864,946176,8149520384,596184,0,0,408,43386,0,0,505
2019-07-15T15:27:41.960746614Z,9007,705,48,9001,7646553732,2156965535,1958164321,1733180843,1798243033,219058176,946176,8149520384,765912,0,0,520,55770,0,0,649
2019-07-15T15:27:42.965549465Z,10018,778,50,10006,8442843152,2346659494,2148002748,1961187761,1986993149,237481984,946176,8149520384,956856,0,0,646,69702,0,0,811
2019-07-15T15:27:43.972967525Z,11021,871,54,11013,9393449217,2444396212,2230749640,2259988317,2458315048,252145664,946176,8149520384,1169148,0,0,788,85314,0,0,993
2019-07-15T15:27:44.978613142Z,12030,956,59,12019,10275617958,2781266966,2465903344,2395514636,2632933012,269758464,946176,8149520384,1402524,0,0,942,102342,0,0,1191
2019-07-15T15:27:45.986150799Z,13034,1050,64,13027,11245206815,3212304753,2751531280,2503387655,2777983127,289009664,946176,8149520384,1657186,0,0,1111,120918,0,0,1407
2019-07-15T15:27:46.991954177Z,14039,1141,69,14032,12206586150,3613985005,2865530995,2626652927,3100417223,309493760,946176,8149520384,1932994,0,0,1293,141042,0,0,1641
2019-07-15T15:27:47.996983146Z,15045,1246,74,15037,13354988092,3800001906,3052745777,3121920974,3380319435,327925760,946176,8149520384,2230018,0,0,1489,162714,0,0,1893
2019-07-15T15:27:49.00310023Z,16054,1347,78,16044,14429356438,4169735097,3361591137,3224532858,3673589865,344600576,946176,8149520384,2548258,0,0,1699,185934,0,0,2163
2019-07-15T15:27:50.012582748Z,17062,1454,84,17053,15521918208,4578974553,3543145539,3402920420,3996877696,364544000,946176,8149520384,2887714,0,0,1923,210702,0,0,2451
2019-07-15T15:27:51.02203997Z,18070,1560,88,18063,16661078026,4823677018,3784746483,3819420236,4233234289,386043904,946176,8149520384,3248386,0,0,2161,237018,0,0,2757
2019-07-15T15:27:52.026510133Z,19073,1694,93,19067,18019946648,5408185154,3897656719,4052216595,4661888180,421507072,946176,8149520384,3630274,0,0,2413,264882,0,0,3081
2019-07-15T15:27:53.032700553Z,20080,1806,101,20073,19211754031,5741864987,4357030322,4291628595,4821230127,440348672,946176,8149520384,4033378,0,0,2679,294294,0,0,3423
2019-07-15T15:27:54.045175441Z,21094,1919,106,21086,20416748949,6007458579,4624606663,4507607321,5277076386,454795264,946176,8149520384,4457698,0,0,2959,325254,0,0,3783
2019-07-15T15:27:55.048782361Z,22097,2038,110,22089,21660696071,6358112442,4893745292,4726260442,5682577895,472821760,946176,8149520384,4903300,0,0,3254,357828,0,0,4162
2019-07-15T15:27:56.053633617Z,23099,2156,115,23094,22898557619,6720230889,5034186705,5192854558,5951285467,492732416,946176,8149520384,5370052,0,0,3562,391884,0,0,4558
2019-07-15T15:27:57.060831883Z,24106,2285,120,24101,24225429982,7061821890,5323522090,5379705173,6460380829,513613824,946176,8149520384,5858020,0,0,3884,427488,0,0,4972
2019-07-15T15:27:58.063537382Z,25109,2408,127,25104,25504920989,7307814022,5750624252,5570528625,6875954090,531529728,946176,8149520384,6367204,0,0,4220,464640,0,0,5404
2019-07-15T15:27:59.076987279Z,26121,2539,132,26117,26881355605,7545189594,6145925587,5850634173,7339606251,546873344,946176,8149520384,6897670,0,0,4571,503406,0,0,5855
2019-07-15T15:28:00.079066315Z,27128,2662,135,27120,28171442113,7669401099,6695451880,6129499210,7677089924,566390784,946176,8149520384,7449418,0,0,4937,543786,0,0,6325
2019-07-15T15:28:01.090455817Z,28138,2797,141,28131,29589672259,7860267663,6938240437,6894349210,7896814949,584482816,946176,8149520384,8022250,0,0,5315,585582,0,0,6811
